 cookie=0x0, duration=9.094s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=203.24.157.184,nw_dst=10.0.0.1,tp_src=19396,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.094s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=173.161.185.218,nw_dst=10.0.0.1,tp_src=19398,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.094s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=97.1.152.124,nw_dst=10.0.0.1,tp_src=19399,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.094s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=243.15.53.253,nw_dst=10.0.0.1,tp_src=19400,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.094s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=243.8.5.174,nw_dst=10.0.0.1,tp_src=19401,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.094s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=185.36.148.24,nw_dst=10.0.0.1,tp_src=19402,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.094s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=157.41.232.124,nw_dst=10.0.0.1,tp_src=19403,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.094s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=170.228.41.124,nw_dst=10.0.0.1,tp_src=19404,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.062s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=41.13.118.177,nw_dst=10.0.0.1,tp_src=19405,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.061s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=249.159.93.136,nw_dst=10.0.0.1,tp_src=19406,tp_dst=0 actions=output:1
 cookie=0x0, duration=9.061s, table=0, n_packets=0, n_bytes=0, idle_age=9, priority=1,tcp,in_port=2,dl_src=22:7b:5a:1b:ee:14,dl_dst=06:52:bb:af:85:ef,nw_src=41.236.124.156,nw_dst=10.0.0.1,tp_src=19407,tp_dst=0 actions=output:1
